Time,phyb22,phyb28,ELF322,ELF328,PIF422,PIF428,COP122,COP128
96.914,0.977,0.464,2.535,4.426,3.981,15.567,12.701,14.668
97.154,0.977,0.519,2.510,4.422,3.813,15.168,8.456,10.589
97.395,0.977,0.560,2.502,4.420,3.651,14.717,5.695,7.937
97.635,0.977,0.591,2.500,4.420,3.493,14.232,3.900,6.212
97.876,0.977,0.613,2.499,4.420,3.338,13.727,2.732,5.090
98.116,0.977,0.630,2.499,4.420,3.181,13.212,1.972,4.360
98.357,0.977,0.642,2.499,4.419,3.023,12.698,1.478,3.885
98.597,0.977,0.651,2.499,4.419,2.861,12.192,1.157,3.576
98.838,0.977,0.657,2.499,4.419,2.699,11.701,0.948,3.376
99.078,0.977,0.662,2.499,4.419,2.538,11.227,0.812,3.245
99.319,0.977,0.666,2.499,4.419,2.382,10.774,0.724,3.160
99.559,0.977,0.668,2.499,4.419,2.234,10.343,0.666,3.105
99.800,0.977,0.670,2.499,4.419,2.096,9.934,0.629,3.069
100.040,0.977,0.672,2.499,4.419,1.969,9.548,0.604,3.046
100.281,0.977,0.673,2.499,4.419,1.855,9.183,0.588,3.030
100.521,0.977,0.673,2.499,4.419,1.752,8.839,0.578,3.020
100.762,0.977,0.674,2.499,4.419,1.661,8.515,0.571,3.014
101.002,0.977,0.674,2.499,4.419,1.580,8.209,0.567,3.010
101.242,0.977,0.675,2.499,4.419,1.509,7.922,0.564,3.007
101.483,0.977,0.675,2.499,4.419,1.446,7.653,0.562,3.005
101.723,0.977,0.675,2.499,4.419,1.390,7.399,0.561,3.004
101.964,0.977,0.675,2.499,4.420,1.342,7.160,0.560,3.003
102.204,0.977,0.675,2.499,4.420,1.299,6.936,0.560,3.003
102.445,0.977,0.675,2.500,4.420,1.261,6.725,0.560,3.003
102.685,0.977,0.676,2.502,4.420,1.228,6.527,0.559,3.002
102.926,0.977,0.676,2.510,4.422,1.200,6.340,0.559,3.002
103.166,0.977,0.676,2.536,4.426,1.174,6.165,0.559,3.002
103.407,0.977,0.676,2.621,4.442,1.150,6.001,0.559,3.002
103.647,0.977,0.676,2.868,4.487,1.126,5.846,0.559,3.002
103.888,0.977,0.676,3.446,4.593,1.097,5.700,0.559,3.002
104.128,0.949,0.641,4.292,4.748,1.089,5.587,13.323,15.266
104.369,0.897,0.581,4.957,4.869,1.105,5.535,30.628,31.891
104.609,0.849,0.526,5.269,4.926,1.120,5.511,41.883,42.704
104.850,0.802,0.476,5.380,4.947,1.136,5.511,49.203,49.737
105.090,0.759,0.432,5.415,4.953,1.154,5.529,53.964,54.311
105.331,0.718,0.391,5.426,4.955,1.174,5.565,57.060,57.286
105.571,0.679,0.354,5.429,4.956,1.197,5.617,59.074,59.221
105.812,0.642,0.321,5.430,4.956,1.222,5.681,60.384,60.480
106.052,0.607,0.291,5.430,4.956,1.249,5.757,61.236,61.298
106.293,0.574,0.263,5.430,4.956,1.278,5.844,61.790,61.830
106.533,0.543,0.239,5.430,4.956,1.309,5.941,62.150,62.177
106.774,0.514,0.216,5.430,4.956,1.341,6.046,62.385,62.402
107.014,0.486,0.196,5.430,4.956,1.375,6.159,62.537,62.548
107.255,0.459,0.177,5.430,4.956,1.410,6.279,62.636,62.644
107.495,0.434,0.161,5.430,4.956,1.447,6.406,62.701,62.706
107.735,0.411,0.146,5.430,4.956,1.486,6.539,62.743,62.746
107.976,0.389,0.132,5.430,4.956,1.525,6.678,62.770,62.772
108.216,0.367,0.119,5.430,4.956,1.566,6.821,62.788,62.789
108.457,0.348,0.108,5.430,4.956,1.608,6.969,62.799,62.800
108.697,0.329,0.098,5.430,4.956,1.652,7.122,62.807,62.807
108.938,0.311,0.089,5.430,4.956,1.696,7.278,62.812,62.812
109.178,0.294,0.080,5.430,4.956,1.742,7.438,62.815,62.815
109.419,0.278,0.073,5.430,4.956,1.789,7.602,62.817,62.817
109.659,0.263,0.066,5.430,4.956,1.837,7.768,62.818,62.818
109.900,0.249,0.060,5.430,4.956,1.885,7.938,62.819,62.819
110.140,0.235,0.054,5.430,4.956,1.935,8.110,62.820,62.820
110.381,0.222,0.049,5.430,4.956,1.986,8.285,62.820,62.820
110.621,0.210,0.044,5.430,4.956,2.038,8.462,62.820,62.820
110.862,0.199,0.040,5.430,4.956,2.091,8.641,62.821,62.821
111.102,0.188,0.036,5.430,4.956,2.145,8.822,62.821,62.821
111.343,0.178,0.033,5.430,4.956,2.199,9.005,62.821,62.821
111.583,0.168,0.030,5.430,4.956,2.255,9.189,62.821,62.821
111.824,0.159,0.027,5.430,4.956,2.311,9.375,62.821,62.821
112.064,0.150,0.025,5.430,4.956,2.368,9.563,62.821,62.821
112.305,0.142,0.022,5.430,4.956,2.426,9.751,62.821,62.821
112.545,0.135,0.020,5.430,4.956,2.485,9.941,62.821,62.821
112.786,0.127,0.018,5.430,4.956,2.545,10.132,62.821,62.821
113.026,0.120,0.017,5.430,4.956,2.605,10.324,62.821,62.821
113.267,0.114,0.015,5.430,4.956,2.666,10.517,62.821,62.821
113.507,0.108,0.014,5.430,4.956,2.728,10.711,62.821,62.821
113.747,0.102,0.012,5.430,4.956,2.790,10.905,62.821,62.821
113.988,0.096,0.011,5.430,4.956,2.853,11.101,62.821,62.821
114.228,0.091,0.010,5.430,4.956,2.917,11.296,62.821,62.821
114.469,0.086,0.009,5.430,4.956,2.982,11.493,62.821,62.821
114.709,0.081,0.008,5.430,4.956,3.047,11.690,62.821,62.821
114.950,0.077,0.008,5.430,4.956,3.112,11.887,62.821,62.821
115.190,0.073,0.007,5.430,4.956,3.179,12.085,62.821,62.821
115.431,0.069,0.006,5.430,4.956,3.246,12.284,62.821,62.821
115.671,0.065,0.006,5.430,4.956,3.313,12.483,62.821,62.821
115.912,0.062,0.005,5.430,4.956,3.381,12.682,62.821,62.821
116.152,0.058,0.005,5.430,4.956,3.449,12.881,62.821,62.821
116.393,0.055,0.004,5.430,4.956,3.518,13.081,62.821,62.821
116.633,0.052,0.004,5.430,4.956,3.588,13.280,62.821,62.821
116.874,0.049,0.003,5.430,4.956,3.658,13.480,62.821,62.821
117.114,0.047,0.003,5.430,4.956,3.728,13.681,62.821,62.821
117.355,0.044,0.003,5.430,4.956,3.799,13.881,62.821,62.821
117.595,0.042,0.003,5.430,4.956,3.870,14.082,62.821,62.821
117.836,0.039,0.002,5.430,4.956,3.942,14.282,62.821,62.821
118.076,0.037,0.002,5.430,4.956,4.014,14.483,62.821,62.821
118.317,0.035,0.002,5.430,4.956,4.086,14.684,62.821,62.821
118.557,0.033,0.002,5.428,4.955,4.159,14.885,62.821,62.821
118.798,0.032,0.002,5.424,4.955,4.232,15.086,62.821,62.821
119.038,0.030,0.001,5.410,4.952,4.306,15.287,62.821,62.821
119.279,0.028,0.001,5.365,4.944,4.380,15.488,62.821,62.821
119.519,0.027,0.001,5.223,4.918,4.456,15.689,62.821,62.821
119.760,0.025,0.001,4.839,4.848,4.534,15.890,62.821,62.821
120.000,0.024,0.001,4.097,4.712,4.620,16.092,62.821,62.821
